"Label","Samples","AvgMs","P90Ms","P95Ms","MaxMs","ErrorRatePct","ThroughputRps","SuccessCount","ErrorCount"
"GET /api/community/posts","500","4.96","8","10","20","0","50.8","500","0"
"GET /api/knowledge-graph/stats","500","6.13","10","13","24","0","51.21","500","0"
"GET /api/learn/my","500","7.16","12","14","36","0","50.84","500","0"
"GET /api/learn/path/detail/1","500","11.82","20","23","44","0","50.94","500","0"
"GET /api/learn/paths","500","5.02","9","10","18","0","50.91","500","0"
"GET /api/problem/detail/1","500","4.01","7","9","17","0","50.53","500","0"
"GET /api/problem/list","500","16.71","29","34","60","0","50.23","500","0"
"GET /api/submit/my","500","6.11","11","13","20","0","51.08","500","0"
"GET /api/user/info","500","5.3","9","10","42","0","50.6","500","0"
"GET /api/wrong-book/list","500","6.08","11","12","21","0","51.13","500","0"
"POST /api/user/login","50","5.64","8","9","59","0","5.16","50","0"
